user_id,transaction_date,revenue,platform,acquisition_channel
user_2,28-10-2024,36.70,web,Organic Search
user_2,29-12-2024,10.36,app,Facebook Ads
user_3,30-06-2024,5.67,web,Organic Search
user_3,06-08-2024,42.99,web,Referral
user_3,15-12-2024,13.61,web,Referral
user_4,20-09-2024,47.80,web,Google Ads
user_4,13-09-2024,81.80,web,Email Campaign
user_6,12-10-2024,29.58,web,Facebook Ads
user_6,15-09-2024,56.94,web,Facebook Ads
user_8,23-09-2024,60.74,app,Referral
user_9,19-06-2024,20.70,web,Google Ads
user_9,11-10-2024,23.88,web,Organic Search
user_9,24-08-2024,72.58,app,Organic Search
user_9,15-07-2024,91.92,app,Referral
user_9,07-07-2024,11.04,web,Email Campaign
user_9,11-09-2024,61.17,web,Organic Search
user_10,22-11-2024,97.31,app,Email Campaign
user_11,25-09-2024,15.53,web,Organic Search
user_11,12-11-2024,90.10,web,Email Campaign
user_11,15-12-2024,71.07,web,Email Campaign
user_12,20-06-2024,61.89,web,Referral
user_12,18-03-2024,64.31,web,Email Campaign
user_12,25-05-2024,48.37,web,Referral
user_12,24-10-2024,88.91,web,Referral
user_13,16-12-2024,82.71,app,Organic Search
user_14,31-12-2024,28.45,web,Organic Search
user_15,11-07-2024,30.34,app,Referral
user_15,14-06-2024,8.14,web,Google Ads
user_15,25-08-2024,18.77,web,Referral
user_15,10-11-2024,40.12,web,Email Campaign
user_15,28-07-2024,65.19,web,Google Ads
user_16,05-11-2024,22.72,web,Referral
user_16,26-09-2024,38.12,web,Google Ads
user_16,07-09-2024,54.19,app,Organic Search
user_16,30-09-2024,56.44,web,Referral
user_16,23-09-2024,82.64,web,Referral
user_16,04-05-2024,99.64,app,Email Campaign
user_16,08-06-2024,88.85,web,Google Ads
user_17,19-12-2024,90.23,app,Google Ads
user_17,18-09-2024,12.99,web,Referral
user_18,28-07-2024,97.50,web,Facebook Ads
user_18,31-10-2024,70.73,web,Google Ads
user_18,28-09-2024,6.72,web,Referral
user_19,24-11-2024,67.47,web,Referral
user_19,04-06-2024,28.18,app,Email Campaign
user_19,03-07-2024,89.74,web,Facebook Ads
user_19,18-08-2024,59.81,web,Email Campaign
user_20,07-02-2024,78.01,web,Referral
user_20,10-08-2024,49.64,web,Organic Search
user_20,23-08-2024,95.54,web,Email Campaign
user_21,29-10-2024,32.97,web,Google Ads
user_22,29-11-2024,71.12,web,Facebook Ads
user_23,03-10-2024,54.24,app,Google Ads
user_23,10-09-2024,71.22,app,Email Campaign
user_23,15-11-2024,81.89,app,Google Ads
user_23,11-06-2024,12.75,web,Referral
user_23,18-11-2024,23.46,web,Referral
user_23,19-10-2024,40.68,web,Organic Search
user_24,04-09-2024,98.27,app,Facebook Ads
user_24,30-12-2024,8.69,web,Organic Search
user_24,12-10-2024,54.61,app,Referral
user_24,19-10-2024,64.17,web,Email Campaign
user_24,19-08-2024,71.45,web,Email Campaign
user_24,04-11-2024,72.89,web,Organic Search
user_27,15-05-2024,67.72,web,Email Campaign
user_27,26-08-2024,57.66,web,Organic Search
user_27,02-05-2024,58.77,web,Google Ads
user_27,27-11-2024,16.03,web,Google Ads
user_27,20-05-2024,86.27,app,Referral
user_27,21-09-2024,77.52,app,Referral
user_29,28-09-2024,63.51,web,Facebook Ads
user_29,20-07-2024,40.59,web,Facebook Ads
user_29,27-04-2024,86.37,web,Referral
user_29,07-02-2024,11.70,web,Google Ads
user_29,30-06-2024,94.32,web,Facebook Ads
user_30,29-07-2024,82.96,web,Google Ads
user_30,18-07-2024,91.01,web,Email Campaign
user_30,13-02-2024,14.57,web,Organic Search
user_31,05-09-2024,11.76,web,Facebook Ads
user_31,03-05-2024,37.36,web,Referral
user_32,06-07-2024,88.36,app,Email Campaign
user_32,27-12-2024,57.06,web,Organic Search
user_32,16-10-2024,74.51,web,Google Ads
user_32,27-07-2024,37.38,app,Email Campaign
user_33,13-07-2024,75.29,web,Google Ads
user_34,24-05-2024,83.51,web,Organic Search
user_35,02-10-2024,6.03,app,Referral
user_36,28-12-2024,57.60,web,Email Campaign
user_37,18-07-2024,15.78,app,Facebook Ads
user_37,31-12-2024,10.31,app,Email Campaign
user_37,15-10-2024,97.02,web,Facebook Ads
user_38,09-11-2024,26.14,web,Organic Search
user_38,21-10-2024,18.93,web,Organic Search
user_38,04-11-2024,40.56,web,Referral
user_38,13-11-2024,94.99,app,Referral
user_38,30-08-2024,72.28,web,Referral
user_38,20-12-2024,71.98,web,Organic Search
user_39,24-10-2024,6.08,web,Facebook Ads
user_39,29-09-2024,16.29,web,Google Ads
user_39,05-05-2024,69.70,web,Google Ads
user_39,11-11-2024,50.38,web,Google Ads
user_39,29-08-2024,96.51,web,Email Campaign
user_40,18-10-2024,99.33,web,Organic Search
user_40,13-08-2024,97.08,web,Google Ads
user_40,02-04-2024,32.98,app,Organic Search
user_40,10-08-2024,75.02,app,Facebook Ads
user_41,30-12-2024,21.12,web,Facebook Ads
user_42,01-12-2024,31.58,web,Email Campaign
user_42,24-08-2024,12.24,app,Organic Search
user_43,07-11-2024,93.61,app,Email Campaign
user_43,02-11-2024,7.50,web,Google Ads
user_45,12-12-2024,70.71,web,Email Campaign
user_46,15-03-2024,94.75,app,Google Ads
user_46,16-04-2024,47.80,web,Organic Search
user_46,13-07-2024,62.59,web,Google Ads
user_47,16-11-2024,39.03,web,Facebook Ads
user_47,06-12-2024,96.96,web,Organic Search
user_48,31-12-2024,7.73,app,Email Campaign
user_48,25-06-2024,81.48,app,Referral
user_48,02-12-2024,38.31,web,Organic Search
user_48,25-12-2024,53.83,app,Referral
user_48,20-05-2024,64.10,app,Email Campaign
user_48,05-09-2024,93.03,web,Referral
user_49,11-04-2024,63.98,web,Organic Search
user_49,20-04-2024,27.81,web,Google Ads
user_49,06-08-2024,17.16,web,Referral
user_49,08-09-2024,44.11,app,Organic Search
user_49,09-06-2024,97.45,web,Organic Search
user_49,10-12-2024,21.05,web,Email Campaign
user_49,30-03-2024,13.43,web,Google Ads
user_50,21-10-2024,70.59,web,Google Ads
user_50,03-05-2024,64.65,web,Organic Search
user_51,12-11-2024,81.59,app,Email Campaign
user_52,28-11-2024,92.78,web,Referral
user_52,10-10-2024,48.94,app,Organic Search
user_53,09-01-2024,90.04,web,Referral
user_53,06-10-2024,47.50,web,Google Ads
user_53,04-05-2024,40.84,web,Google Ads
user_54,11-11-2024,36.11,web,Google Ads
user_55,01-04-2024,38.73,web,Facebook Ads
user_55,14-05-2024,60.50,app,Google Ads
user_55,16-09-2024,17.12,web,Referral
user_55,01-11-2024,62.72,web,Organic Search
user_56,24-10-2024,28.37,web,Organic Search
user_57,06-12-2024,43.99,app,Facebook Ads
user_57,09-11-2024,5.50,app,Organic Search
user_58,06-08-2024,31.60,app,Facebook Ads
user_58,06-11-2024,72.54,web,Referral
user_58,01-11-2024,55.33,app,Email Campaign
user_58,27-11-2024,93.54,web,Organic Search
user_58,19-12-2024,40.08,web,Email Campaign
user_58,26-11-2024,99.05,web,Facebook Ads
user_58,03-10-2024,29.19,web,Google Ads
user_59,10-05-2024,15.14,app,Referral
user_59,29-09-2024,43.81,app,Organic Search
user_59,22-06-2024,24.48,web,Google Ads
user_59,28-11-2024,73.55,web,Email Campaign
user_59,30-12-2024,83.65,app,Referral
user_59,18-11-2024,83.39,web,Organic Search
user_59,24-04-2024,54.69,web,Email Campaign
user_59,19-03-2024,42.28,app,Organic Search
user_59,10-06-2024,33.63,app,Google Ads
user_60,04-09-2024,26.76,web,Organic Search
user_60,18-11-2024,36.82,web,Email Campaign
user_60,27-10-2024,19.41,web,Email Campaign
user_61,04-04-2024,51.93,app,Email Campaign
user_61,31-08-2024,40.99,web,Referral
user_61,25-09-2024,52.72,web,Email Campaign
user_64,06-06-2024,96.11,web,Facebook Ads
user_64,30-12-2024,60.69,web,Google Ads
user_64,14-09-2024,73.98,web,Referral
user_67,19-03-2024,14.90,app,Organic Search
user_67,02-11-2024,15.76,app,Referral
user_67,19-08-2024,84.56,web,Organic Search
user_67,17-07-2024,41.03,app,Facebook Ads
user_67,28-12-2024,5.44,web,Referral
user_67,15-03-2024,87.03,app,Facebook Ads
user_67,07-03-2024,60.77,web,Organic Search
user_67,16-08-2024,28.58,web,Referral
user_69,11-05-2024,48.60,web,Referral
user_70,31-10-2024,34.44,web,Organic Search
user_70,15-09-2024,38.19,web,Google Ads
user_70,29-11-2024,84.47,web,Google Ads
user_70,05-05-2024,72.84,web,Referral
user_70,09-06-2024,43.07,web,Referral
user_70,07-11-2024,86.87,app,Facebook Ads
user_70,28-07-2024,43.83,web,Referral
user_71,21-12-2024,7.57,web,Organic Search
user_72,28-10-2024,80.99,web,Google Ads
user_72,24-05-2024,27.63,web,Organic Search
